#,ChatRm,Date,ID,Time,Comment,,,
113,2 MEB,14-Mar-2014,anIst_g7_g9,8:47,(en) 14 Mar 11,,,
151,2 MEB,14-Mar-2014,10mc_cdr,8:55,(en) ASSIGN CEDAR 01 AND FLIGHT; 25% BOMB LOAD LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO-700 LINE 2: TGT GRID: 12SWG 40526 64123 LINE 3: TGT DESC: TROOP TRANSPORT LINE 4: JTAC C/S: TORNADO 14. REPORT BDA TO JTAC. LINE 5: TOT: 1005 TIME NOW: 0954,,,
152,2 MEB,14-Mar-2014,2meb_mech_bn_cdr,8:55,"(en) TFW--ISR REQUEST NUMBER: TF Warlord FOR UAV/UAS ASSETS TGT GRID: UAV TRACK TWO: 12wsg 52514 89040 TO 12swg 54179 82936 TGT DESC: FRIENDLY BEACH LANDING AREA WHERE AMPHBIOUS ASSAULT WILL TAKE PLACE AT H-HOUR. REQUEST UAV SURVIELLANCE H minus 60 MINUTES TO H plus 60 MINUTES. JFAC C/S: RHINO 02 INTEL OFFICER WITH ANY INFORMATION OR INTELLIGENCE ON ENEMY ACTIVITIES UPON DETECTION. PIR IS ANTI-AIR, ANTI-SHIP MISSILE DEFENSE SYSTEMS, and arty/mortar.",,,
159,2 MEB,14-Mar-2014,10mc_cdr,8:57,(en) CORRECTION: MISSION 14-TORNADO-700 IS 14-HAMMER-700. ALL ELSE REMAINS SAME. JTAC C/S IS HAMMER 14.,,,
164,2 MEB,14-Mar-2014,2meb_fso,8:58,(en) firesim is down all requests will be forwarded to air until further notice,,,
172,2 MEB,14-Mar-2014,10mc_cdr,9:01,(en) ASSIGN ELM 01 AND FLIGHT; 25% BOMB LOAD LINE 1: CAS MISSION REQUEST NUMBER: 14-HAMMER-702 LINE 2: TGT GRID: 12SWG 41840 64902 LINE 3: TGT DESC: TROOP TRANSPORT LINE 4: JTAC C/S: TORNADO 14. REPORT BDA TO JTAC. LINE 5: TOT: 1015 TIME NOW: 1001,,,
180,2 MEB,14-Mar-2014,10mc_cdr,9:03,(en) ASSIGN ELM 01 AND FLIGHT; 25% BOMB LOAD AND GUNS LINE 1: CAS MISSION REQUEST NUMBER: 14-HAMMER-703 LINE 2: TGT GRID: LINEAR TARGET WEST TO EAST IS 12SWG 41743 64916 TO 12SWG 42089 64872 LINE 3: TGT DESC: ENEMY TROOPS IN OPEN ORIENTED WEST TO EAST. LINE 4: JTAC C/S: TORNADO 14. REPORT BDA TO JTAC. LINE 5: TOT: 1020 TIME NOW: 1004,,,
184,2 MEB,14-Mar-2014,7_7aino_mc,9:04,"(en) PEGASUS 55: RHINO 14, TRACK TWO THAT WARLORD IS REQUESTING IS VERY SIMILAR TO THE TRACK ONE YOU SENT. SHOULD I AMEND?",,,
185,2 MEB,14-Mar-2014,2meb_s2,9:04,(en) stick with the track I sent.,,,
187,2 MEB,14-Mar-2014,7 _ 7a Ino _ mc,9:05,(en) RGR,,,
189,2 MEB,14-Mar-2014,2meb_fso,9:06,(en) FireSim is up,,,
190,2 MEB,14-Mar-2014,2meb_s3,9:06,(en) Conditions checklist for Div and JTF has been forwarded to all MEB hands via e-mail.,,,
194,2 MEB,14-Mar-2014,10mc_cdr,9:07,(en) ASSIGN CEDAR 01 AND FLIGHT; 25% BOMB LOAD AND GUNS LINE 1: CAS MISSION REQUEST NUMBER: 14-HAMMER-704 LINE 2: TGT GRID: LINEAR TARGET WEST TO EAST IS 12SWG 41961 64887 TO 12SWG 42088 64873 LINE 3: TGT DESC: ENEMY MOTORCYCLES AND TROOPS IN OPEN ORIENTED WEST TO EAST. APPEARS TO BE A ROUTE RECONNAISSANCE UNIT OR COMMAND POST NODE. LINE 4: JTAC C/S: HAMMER 14. REPORT BDA TO JTAC. LINE 5: TOT: 1025 TIME NOW: 1007,,,
205,2 MEB,14-Mar-2014,9_525_107_c_cdr,9:09,(en) TF Hammer: requesting NSFS or Air for #706 Sniper 40708 64257,,,
206,2 MEB,14-Mar-2014,9_525_107_c_cdr,9:09,(en) TF Hammer: requesting NSFS or Air for #707 Troops in Open (Hvy Wpns Team) 42220 65677,,,
207,2 MEB,14-Mar-2014,9_525_107_c_cdr,9:09,(en) TF Hammer: requesting NSFS or Air for #708 Tactical Vehicle 42592 65827,,,
213,2 MEB,14-Mar-2014,9_525_107_c_cdr,9:10,(en) TF Hammer: requesting NSFS or Air for #709 Tactical Vehicle 42671 65865,,,
