#,ChatRm,Date,ID,Time,Comment
138,JAGOC Airspace coord,3/14,"anIstg7_,g9",8:53,(en) 14 Mar 11
162,JAGOC Airspace coord,3/14,acc_sacc,8:57,(en) ASOCMGR - A10 holding areas Chiefs/Colts coordinated & cleared
220,JAGOC Airspace coord,3/14,Icc_7_ jagic_asocmgr,9:10,(en) buzzard06 iso jsotf#1/det14 tacp09 arty in open
228,JAGOC Airspace coord,3/14,Icc_7_g3 Ji_tgtoff,9:11,(en) 1 KB 8403 12SWG 5341890851 BM-21 AF
260,JAGOC Airspace coord,3/14,Icc_7_g3_fi_tgtoff,9:17,(en) 1 KB 8404 12SWG 502 728 Artriffery in the Open
261,JAGOC Airspace coord,3/14,Icc_7_g3_fi_tgtoff,9:17,"(en) 2 KB 8405 12SWG 51100 78300 20 enemy vehicles and radar, — 50+ troops, numerous civilians"
307,JAGOC Airspace coord,3/14,Icc_7jagic_asocmgr,9:22,"(en) buzzard06 iso kb8404 / 8405, buzzard10 iso kb8403"
342,JAGOC Airspace coord,3/14,Icc_7_g3_fi_tgtoff,9:28,(en) 1 KB 8407 125WG 61953 91955 SKYGUARD
343,JAGOC Airspace coord,3/14,Icc_7_g3_fi_tgtoff,9:28,(en) KB 8406 12SWG 53174/89745 type 63 107 towed MRL
365,JAGOC Airspace coord,3/14,Icc_7_g3_fi_tgtoff,9:30,"(en) KB 8408 12SWG 59300 92400 2 x en vehicles, en sqd KB 8409 12SWG 58050 92662 2 x en vehicles, en sqd KB 8410 125WG 56150 93150 2 x en vehicles, en sqd"
379,JAGOC Airspace coord,3/14,!cc _7 jagic_asocmgr,9:32,"(en) batman45 iso kb8408, 8409, 8410/tacp06"
395,JAGOC Airspace coord,3/14,Icc_7g3fitgtoff,9:34,(en) 1 KB 8411 12SWG 64728 90121 CROTALE 1 KB 8412 12SWG 62191 89175 CROTALE 1 KB 8413 12SWG 60422 89562 CROTALE 1 KB 8414 12SWG 53847 90497 CROTALE
466,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,9:47,(en) batman45 iso kb8406 type63
471,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,9:49,"(en) buzzard06 complete kb8404/8405, batman45 complete kb 8408,8409,8410"
489,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,9:53,(en) batman45 complete kb8406
525,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,10:00,"(en) NFAs (en) ODA 9125,TACP07, 12SWG 70188 82688 NSWD 11,TACP13, 12SWG 33159 54336 ODA 9122,TACP05, 12SWG 55078 94758 ODA 9131,TACP08, 12SWG 54380 92004 ODA 9132,TACP10, 12SWG 70928 85498"
556,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,10:03,(en) batman45 iso kb8415 tacp06
587,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,10:11,"(en) nailll iso JSOTF #6/ODA 9132,TACP10"
635,JAGOC Airspace coord,3/14,acc_sacc,10:26,(en) Darkstar copy
636,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,10:26,"(en) batman42 iso kb8421, 8422, 8423, 8424 tacp05"
639,JAGOC Airspace coord,3/14,acc_sacc,10:27,(en) JDOCS down
654,JAGOC Airspace coord,3/14,acc_sacc,10:32,(en) JDOCS ops normal
660,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,10:35,(en) nail23 iso tacp08 jsotf#8
666,JAGOC Airspace coord,3/14,lcc_7_jagic_sad,10:36,"(en) At this point, I have to wonder if ""JDOCS Ops Normal"" means that JDOCS is down..."
690,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,10:40,(en) batman42 iso kb8430 t-72 tacp06
709,JAGOC Airspace coord,3/14,acc_sacc,10:47,"(en) OK, JDOCS appears to be ""working"""
713,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,10:49,"(en) batman44 iso tacp07 2xbm2l, JSOTF #12/ODA 9125"
735,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,10:55,"(en) batman42 complete kb8430-kb8433, winchester/rtb"
765,JAGOC Airspace coord,3/14,icc _7 jagic asocmgr,11:06,(en) batman44 iso kb8434-8437
788,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,11:13,(en) batman44 additional tasking: crotale tacp05
873,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,11:35,(en) Nail13 iso jsotf#16 tacp06 t-72 kb8442
914,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,11:43,"(en) batman44 iso JSOTF #17/ODA 9131,TACP08"
934,JAGOC Airspace coord,3/14,Icc_7 jagic_amlo,11:45,(en) 68 C-17s airdropping over DIAZ in 15 min
948,JAGOC Airspace coord,3/14,Icc 7 jagic_asocmgr,11:46,(en) c
965,JAGOC Airspace coord,3/14,Icc_7 jagic_amlo,11:48,(en) Lead C-17 TOT DIAZ 1200CDT. Last C-17 off of DIAZ at 1227CDT.
1008,JAGOC Airspace coord,3/14,Icc_7 _Ogle asocmgr,11:55,(en) Nail13 complete kb8438/bingo rtb
1009,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,11:55,(en) Batman44 complete kb8443/kb8444
1155,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,12:32,"(en) Nail27 iso JSOTF #18 /ODA 9132,TACP10"
1156,JAGOC Airspace coord,3/14,acc_sacc,12:32,(en) C-17 airdrop msn complete
1324,JAGOC Airspace coord,3/14,Icc_7_jagic_amlo,12:55,(en) any coordinates on the C-17 shoot down?
1360,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,13:00,(en) Spooky64 iso slasher93 14s1a001 2xt-72 wg6029488717
622,JAGOC Airspace coord,3/14,Icc_71agic_asocmgr,13:22,"(en) Batman42 iso tacp05 4x tgts 12SWG 55370 94756, Darkstar will deconflict"
1571,JAGOC Airspace coord,3/14,Icc_7_g3_ada_fco,13:32,(en) 4 Avenger PAX lost on downed C-17 (1 crew from each Avenger PLT on Airfield. Remaining Avengers/Sentinels + locations are: 1/E/3-1 grid 12SWG 60823 91569 (5 Avengers/1 Sentinel) 2/E/3-1 grid 12SWG 62421 89889 (5 Avengers/1 Sentinel.)
1627,JAGOC Airspace coord,3/14,Icc_7_iagic_asocmgr,13:41,"(en) nail31 iso JSOTF #20/ODA 9124,TACP06 /12SWG 67920 88306"
1679,JAGOC Airspace coord,3/14,Icc_71agic_asocmgr,13:47,(en) spooky64 iso 14crs.J001
1697,JAGOC Airspace coord,3/14,Icc_7_jagic_asocmgr,13:50,"(en) Batman44 iso JSOTF #21/ODA 9116,TACP01"
1731,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,13:56,"'(en) nail31 complete 14sof020, reset cap"
1743,JAGOC Airspace coord,3/14,Icc_7 jagic_asocmgr,13:59,"(en) batman44 complete 14sof021, winchester/rtb"
1884,JAGOC Airspace coord,3/15,Icc_7_g3iso,8:13,(en) c
1923,JAGOC Airspace coord,3/15,lcc_7_jagic_alo,8:21,(en) Bayonet ALO is up.
1930,JAGOC Airspace coord,3/15,Icc_7g3_ada_fco,8:24,"(en) Avenger Grids on Airfield: 1/E/3-1: AVG 1: 12SWG 60699 91216; AVG 2: 12SWG 60763 92037, AVG3: 12SWG 61189 91563, AVG 4: 12SWG 60175 91856, AVG 5: 12SWG 60478 92468, Sent: 12SWG 60577 89761. 2/E/3-1: AVG 1: 12SWG 61888 90925, AVG 2: 12SWG 62278 90506, AVG 3: 12SWG 61269 90166, AVG 4: 12SWG 62005 89506, AVG 5: 12SWG 63150 89293, Sent: 12SWG 62782 89123."
